日期,时点,甘肃_实时市场出清总电量（MWh）
2026-01-01,00:15,9455.10
2026-01-01,00:30,9895.75
2026-01-01,00:45,9943.85
2026-01-01,01:00,9965
2026-01-01,01:15,9489.17
2026-01-01,01:30,9250.91
2026-01-01,01:45,9197.11
2026-01-01,02:00,9149.19
2026-01-01,02:15,9007.09
2026-01-01,02:30,9011.51
2026-01-01,02:45,8993.86
2026-01-01,03:00,9063.88
2026-01-01,03:15,9118.09
2026-01-01,03:30,9030.02
2026-01-01,03:45,8877.25
2026-01-01,04:00,8859.89
2026-01-01,04:15,8794.15
2026-01-01,04:30,8888.62
2026-01-01,04:45,8878.41
2026-01-01,05:00,8901.51
2026-01-01,05:15,8959.18
2026-01-01,05:30,8740.29
2026-01-01,05:45,8833.40
2026-01-01,06:00,8917.06
2026-01-01,06:15,8960.73
2026-01-01,06:30,8936.18
2026-01-01,06:45,8897.54
2026-01-01,07:00,8760.29
2026-01-01,07:15,8638.95
2026-01-01,07:30,8580.85
2026-01-01,07:45,8605.33
2026-01-01,08:00,8544.13
2026-01-01,08:15,8740.63
2026-01-01,08:30,8718.04
2026-01-01,08:45,9130.34
2026-01-01,09:00,9096.75
2026-01-01,09:15,9124.87
2026-01-01,09:30,9325.21
2026-01-01,09:45,9261.28
2026-01-01,10:00,9309.87
2026-01-01,10:15,9522.47
2026-01-01,10:30,9403.41
2026-01-01,10:45,9412.70
2026-01-01,11:00,9528.51
2026-01-01,11:15,9419.34
2026-01-01,11:30,9384.96
2026-01-01,11:45,9423.71
2026-01-01,12:00,9277.22
2026-01-01,12:15,8885.96
2026-01-01,12:30,9322.47
2026-01-01,12:45,9040.64
2026-01-01,13:00,8906.33
2026-01-01,13:15,9144.76
2026-01-01,13:30,9059.21
2026-01-01,13:45,9071.11
2026-01-01,14:00,8830.41
2026-01-01,14:15,8096.89
2026-01-01,14:30,8251.25
2026-01-01,14:45,8714.01
2026-01-01,15:00,8924.81
2026-01-01,15:15,8865.88
2026-01-01,15:30,8895.24
2026-01-01,15:45,9099.32
2026-01-01,16:00,8772.85
2026-01-01,16:15,8528.58
2026-01-01,16:30,8694.73
2026-01-01,16:45,9060.47
2026-01-01,17:00,9341.58
2026-01-01,17:15,9724.68
2026-01-01,17:30,9643.83
2026-01-01,17:45,9646.24
2026-01-01,18:00,9570.38
2026-01-01,18:15,9268.31
2026-01-01,18:30,9283.51
2026-01-01,18:45,9277.03
2026-01-01,19:00,9258.97
2026-01-01,19:15,9266.23
2026-01-01,19:30,9208.82
2026-01-01,19:45,9193.66
2026-01-01,20:00,9228.21
2026-01-01,20:15,9206.54
2026-01-01,20:30,9140.82
2026-01-01,20:45,9091.92
2026-01-01,21:00,9037.45
2026-01-01,21:15,8983.36
2026-01-01,21:30,8891.09
2026-01-01,21:45,8859.88
2026-01-01,22:00,8812.61
2026-01-01,22:15,9131.34
2026-01-01,22:30,9068.08
2026-01-01,22:45,8949.50
2026-01-01,23:00,8917.01
2026-01-01,23:15,8904.46
2026-01-01,23:30,8612.23
2026-01-01,23:45,8572.67
2026-01-01,24:00,8469.43
2026-01-02,00:15,8638.66
2026-01-02,00:30,8873.76
2026-01-02,00:45,8838.65
2026-01-02,01:00,8862.18
2026-01-02,01:15,8824.58
2026-01-02,01:30,8761.09
2026-01-02,01:45,8839.29
2026-01-02,02:00,8852.96
2026-01-02,02:15,8666.49
2026-01-02,02:30,8657.28
2026-01-02,02:45,8616.33
2026-01-02,03:00,8604.64
2026-01-02,03:15,8637.36
2026-01-02,03:30,8839.43
2026-01-02,03:45,8909.34
2026-01-02,04:00,8945.29
2026-01-02,04:15,8900.16
2026-01-02,04:30,8976.37
2026-01-02,04:45,8885.60
2026-01-02,05:00,8832.64
2026-01-02,05:15,8888.95
2026-01-02,05:30,8899.53
2026-01-02,05:45,9006.16
2026-01-02,06:00,9046.58
2026-01-02,06:15,8896.71
2026-01-02,06:30,9138.34
2026-01-02,06:45,9142.19
2026-01-02,07:00,9057.18
2026-01-02,07:15,8411.17
2026-01-02,07:30,8445.13
2026-01-02,07:45,8655.98
2026-01-02,08:00,8897.66
2026-01-02,08:15,8710.99
2026-01-02,08:30,9017.59
2026-01-02,08:45,9081.99
2026-01-02,09:00,9171.88
2026-01-02,09:15,8950.19
2026-01-02,09:30,9090.09
2026-01-02,09:45,8880
2026-01-02,10:00,9231.21
2026-01-02,10:15,9375.16
2026-01-02,10:30,9112.22
2026-01-02,10:45,9109.37
2026-01-02,11:00,9113.10
2026-01-02,11:15,9172.10
2026-01-02,11:30,8856.64
2026-01-02,11:45,8768.49
2026-01-02,12:00,8596.19
2026-01-02,12:15,8462.78
2026-01-02,12:30,8505.86
2026-01-02,12:45,8447.32
2026-01-02,13:00,8470.98
2026-01-02,13:15,8595.88
2026-01-02,13:30,8653.16
2026-01-02,13:45,8650.24
2026-01-02,14:00,8479.79
2026-01-02,14:15,8442.94
2026-01-02,14:30,8450.65
2026-01-02,14:45,8403.21
2026-01-02,15:00,8631.63
2026-01-02,15:15,8671.29
2026-01-02,15:30,8646.57
2026-01-02,15:45,8774.49
2026-01-02,16:00,8681.37
2026-01-02,16:15,8780.30
2026-01-02,16:30,8689.45
2026-01-02,16:45,8860.50
2026-01-02,17:00,9017.23
2026-01-02,17:15,9046.39
2026-01-02,17:30,9063.22
2026-01-02,17:45,9098.38
2026-01-02,18:00,9164.10
2026-01-02,18:15,9286.70
2026-01-02,18:30,9305.07
2026-01-02,18:45,9375.76
2026-01-02,19:00,9269.47
2026-01-02,19:15,9194.36
2026-01-02,19:30,9274.47
2026-01-02,19:45,9295.83
2026-01-02,20:00,9349.46
2026-01-02,20:15,9223.02
2026-01-02,20:30,9220.48
2026-01-02,20:45,8890.27
2026-01-02,21:00,8838.50
2026-01-02,21:15,8744.53
2026-01-02,21:30,8751.88
2026-01-02,21:45,8691.54
2026-01-02,22:00,8668.70
2026-01-02,22:15,9025.97
2026-01-02,22:30,8442.12
2026-01-02,22:45,8263.90
2026-01-02,23:00,7721.96
2026-01-02,23:15,8544.74
2026-01-02,23:30,8224.05
2026-01-02,23:45,8170.95
2026-01-02,24:00,8116.04
2026-01-03,00:15,8439.44
2026-01-03,00:30,8413.44
2026-01-03,00:45,8387.49
2026-01-03,01:00,8364.41
2026-01-03,01:15,8345
2026-01-03,01:30,8356.11
2026-01-03,01:45,8345.11
2026-01-03,02:00,8311.73
2026-01-03,02:15,8299.42
2026-01-03,02:30,8248.86
2026-01-03,02:45,8181.32
2026-01-03,03:00,8133.50
2026-01-03,03:15,8044.66
2026-01-03,03:30,8010.72
2026-01-03,03:45,7994.89
2026-01-03,04:00,8001.12
2026-01-03,04:15,7967.10
2026-01-03,04:30,7980.07
2026-01-03,04:45,7994.29
2026-01-03,05:00,7979.21
2026-01-03,05:15,7997.88
2026-01-03,05:30,8115.27
2026-01-03,05:45,8231.76
2026-01-03,06:00,8300.69
2026-01-03,06:15,8311.59
2026-01-03,06:30,8368.08
2026-01-03,06:45,8379.16
2026-01-03,07:00,8326.25
2026-01-03,07:15,8067.79
2026-01-03,07:30,8171.41
2026-01-03,07:45,8107.32
2026-01-03,08:00,8098.06
2026-01-03,08:15,8169.59
2026-01-03,08:30,8238.93
2026-01-03,08:45,8262.17
2026-01-03,09:00,8273.67
2026-01-03,09:15,8359.78
2026-01-03,09:30,8507.53
2026-01-03,09:45,8630.30
2026-01-03,10:00,8716.39
2026-01-03,10:15,8789.95
2026-01-03,10:30,8993.31
2026-01-03,10:45,8980.62
2026-01-03,11:00,9081.88
2026-01-03,11:15,9521.38
2026-01-03,11:30,9432.32
2026-01-03,11:45,9185.29
2026-01-03,12:00,9031.05
2026-01-03,12:15,8767.67
2026-01-03,12:30,9116.98
2026-01-03,12:45,8952.33
2026-01-03,13:00,8878.80
2026-01-03,13:15,8813.46
2026-01-03,13:30,8874.26
2026-01-03,13:45,8833.94
2026-01-03,14:00,8595.38
2026-01-03,14:15,8713.88
2026-01-03,14:30,8805.20
2026-01-03,14:45,8772.82
2026-01-03,15:00,8588.97
2026-01-03,15:15,8823.28
2026-01-03,15:30,8846.79
2026-01-03,15:45,8819.75
2026-01-03,16:00,8875.63
2026-01-03,16:15,9052.54
2026-01-03,16:30,9136.72
2026-01-03,16:45,9019.36
2026-01-03,17:00,9164.89
2026-01-03,17:15,9164.84
2026-01-03,17:30,9274.91
2026-01-03,17:45,9407.06
2026-01-03,18:00,9493.18
2026-01-03,18:15,9276.63
2026-01-03,18:30,9398.83
2026-01-03,18:45,9288.39
2026-01-03,19:00,9281.67
2026-01-03,19:15,9274.30
2026-01-03,19:30,9237
2026-01-03,19:45,9236.64
2026-01-03,20:00,9054.59
2026-01-03,20:15,9145.64
2026-01-03,20:30,9072.74
2026-01-03,20:45,9068.27
2026-01-03,21:00,9018.38
2026-01-03,21:15,8875.46
2026-01-03,21:30,8897.38
2026-01-03,21:45,8871.38
2026-01-03,22:00,8782.27
2026-01-03,22:15,9021.54
2026-01-03,22:30,8885.25
2026-01-03,22:45,8706.84
2026-01-03,23:00,8557.05
2026-01-03,23:15,8454.21
2026-01-03,23:30,8395.65
2026-01-03,23:45,8328.61
2026-01-03,24:00,8357.65
2026-01-04,00:15,8526.16
2026-01-04,00:30,8538.11
2026-01-04,00:45,8489.85
2026-01-04,01:00,8498.01
2026-01-04,01:15,8395.58
2026-01-04,01:30,8248.66
2026-01-04,01:45,8214.70
2026-01-04,02:00,8207.88
2026-01-04,02:15,8201.96
2026-01-04,02:30,8223.10
2026-01-04,02:45,8214.11
2026-01-04,03:00,8211.42
2026-01-04,03:15,8191.40
2026-01-04,03:30,8160.32
2026-01-04,03:45,8155.28
2026-01-04,04:00,8151.78
2026-01-04,04:15,8125.79
2026-01-04,04:30,8135.90
2026-01-04,04:45,8124.67
2026-01-04,05:00,8141.02
2026-01-04,05:15,8161.55
2026-01-04,05:30,8199.09
2026-01-04,05:45,8286.17
2026-01-04,06:00,8362.73
2026-01-04,06:15,8468.12
2026-01-04,06:30,8468.92
2026-01-04,06:45,8485.33
2026-01-04,07:00,8477.12
2026-01-04,07:15,8251.40
2026-01-04,07:30,8333.32
2026-01-04,07:45,8307.99
2026-01-04,08:00,8345.17
2026-01-04,08:15,8391.23
2026-01-04,08:30,8470.22
2026-01-04,08:45,8558.58
2026-01-04,09:00,8625.85
2026-01-04,09:15,8729.95
2026-01-04,09:30,8898.54
2026-01-04,09:45,9082.78
2026-01-04,10:00,9058.11
2026-01-04,10:15,9275.99
2026-01-04,10:30,9329.88
2026-01-04,10:45,9335.88
2026-01-04,11:00,9214.76
2026-01-04,11:15,9156.50
2026-01-04,11:30,8999.66
2026-01-04,11:45,9264.29
2026-01-04,12:00,9151.62
2026-01-04,12:15,9142.87
2026-01-04,12:30,9243.74
2026-01-04,12:45,9314.66
2026-01-04,13:00,9457.53
2026-01-04,13:15,9442.58
2026-01-04,13:30,9286.03
2026-01-04,13:45,9313
2026-01-04,14:00,9274.34
2026-01-04,14:15,9535.91
2026-01-04,14:30,9525.98
2026-01-04,14:45,9551.88
2026-01-04,15:00,9619.01
2026-01-04,15:15,8993.47
2026-01-04,15:30,9028.64
2026-01-04,15:45,9107.88
2026-01-04,16:00,9328.44
2026-01-04,16:15,9030.83
2026-01-04,16:30,9290.49
2026-01-04,16:45,9626.77
2026-01-04,17:00,9122.08
2026-01-04,17:15,9073.95
2026-01-04,17:30,9129
2026-01-04,17:45,9189.29
2026-01-04,18:00,9145.02
2026-01-04,18:15,9131.46
2026-01-04,18:30,9160.49
2026-01-04,18:45,9097.26
2026-01-04,19:00,9133.18
2026-01-04,19:15,9183.67
2026-01-04,19:30,9199.01
2026-01-04,19:45,9177.03
2026-01-04,20:00,9234.69
2026-01-04,20:15,9301.49
2026-01-04,20:30,9106.86
2026-01-04,20:45,8991.75
2026-01-04,21:00,8910.97
2026-01-04,21:15,8886.32
2026-01-04,21:30,8785.90
2026-01-04,21:45,8734.53
2026-01-04,22:00,8687.36
2026-01-04,22:15,9018.67
2026-01-04,22:30,8866.79
2026-01-04,22:45,8733.08
2026-01-04,23:00,8652.72
2026-01-04,23:15,8537.58
2026-01-04,23:30,8341.67
2026-01-04,23:45,8301.70
2026-01-04,24:00,8206.57
2026-01-05,00:15,8361.18
2026-01-05,00:30,8336.16
2026-01-05,00:45,8311.25
2026-01-05,01:00,8264.33
2026-01-05,01:15,8210.99
2026-01-05,01:30,7968.02
2026-01-05,01:45,7982.26
2026-01-05,02:00,7992.10
2026-01-05,02:15,7991.12
2026-01-05,02:30,7965.45
2026-01-05,02:45,7949.98
2026-01-05,03:00,7988.63
2026-01-05,03:15,7971.41
2026-01-05,03:30,7941.52
2026-01-05,03:45,7938.11
2026-01-05,04:00,8040.46
2026-01-05,04:15,8039.81
2026-01-05,04:30,8057.06
2026-01-05,04:45,8083.14
2026-01-05,05:00,8081.25
2026-01-05,05:15,8135.86
2026-01-05,05:30,8189.43
2026-01-05,05:45,8288.62
2026-01-05,06:00,8347.67
2026-01-05,06:15,8428.83
2026-01-05,06:30,8478.41
2026-01-05,06:45,8512.96
2026-01-05,07:00,8489.08
2026-01-05,07:15,8265.25
2026-01-05,07:30,8324.12
2026-01-05,07:45,8337.60
2026-01-05,08:00,8362.52
2026-01-05,08:15,8574.61
2026-01-05,08:30,8708.67
2026-01-05,08:45,8773.17
2026-01-05,09:00,8820.73
2026-01-05,09:15,8828.29
2026-01-05,09:30,9021.13
2026-01-05,09:45,8997.87
2026-01-05,10:00,8992.39
2026-01-05,10:15,9173.11
2026-01-05,10:30,9016.35
2026-01-05,10:45,8878.90
2026-01-05,11:00,8777.44
2026-01-05,11:15,9170.73
2026-01-05,11:30,9172.88
2026-01-05,11:45,9334.52
2026-01-05,12:00,9152.49
2026-01-05,12:15,9304.66
2026-01-05,12:30,9256.76
2026-01-05,12:45,9145.53
2026-01-05,13:00,9026.76
2026-01-05,13:15,8894.23
2026-01-05,13:30,8948.96
2026-01-05,13:45,8929.18
2026-01-05,14:00,8888.66
2026-01-05,14:15,8983.99
2026-01-05,14:30,8842.43
2026-01-05,14:45,8849.04
2026-01-05,15:00,8967.80
2026-01-05,15:15,9038.02
2026-01-05,15:30,9024.77
2026-01-05,15:45,9255.58
2026-01-05,16:00,9424.47
