日期,时点,甘肃_日前市场出清总电量（MWh）
2026-01-01,00:15,8184.58
2026-01-01,00:30,8179.08
2026-01-01,00:45,8141.34
2026-01-01,01:00,8093.54
2026-01-01,01:15,8067.42
2026-01-01,01:30,7884.19
2026-01-01,01:45,7861.29
2026-01-01,02:00,7838.92
2026-01-01,02:15,7872.14
2026-01-01,02:30,7866.87
2026-01-01,02:45,7867.40
2026-01-01,03:00,7846.64
2026-01-01,03:15,7848.48
2026-01-01,03:30,7799.85
2026-01-01,03:45,7816.48
2026-01-01,04:00,7805.13
2026-01-01,04:15,7829.12
2026-01-01,04:30,7845.93
2026-01-01,04:45,7818.85
2026-01-01,05:00,7834.90
2026-01-01,05:15,7833.69
2026-01-01,05:30,7866.75
2026-01-01,05:45,7866.27
2026-01-01,06:00,7958.69
2026-01-01,06:15,8080.06
2026-01-01,06:30,8088.21
2026-01-01,06:45,8060.77
2026-01-01,07:00,7960.64
2026-01-01,07:15,7923.31
2026-01-01,07:30,7870.47
2026-01-01,07:45,8130.67
2026-01-01,08:00,8108.66
2026-01-01,08:15,8115.56
2026-01-01,08:30,8138.91
2026-01-01,08:45,8191.99
2026-01-01,09:00,8204.55
2026-01-01,09:15,8244.95
2026-01-01,09:30,8356.09
2026-01-01,09:45,8337.90
2026-01-01,10:00,8421.73
2026-01-01,10:15,8422.94
2026-01-01,10:30,8255.27
2026-01-01,10:45,8299.91
2026-01-01,11:00,8289.38
2026-01-01,11:15,8193.34
2026-01-01,11:30,8319.49
2026-01-01,11:45,8175.92
2026-01-01,12:00,8022.24
2026-01-01,12:15,7946.45
2026-01-01,12:30,7845.52
2026-01-01,12:45,7820.73
2026-01-01,13:00,7783.03
2026-01-01,13:15,7738.54
2026-01-01,13:30,7770.67
2026-01-01,13:45,7703.63
2026-01-01,14:00,7414.59
2026-01-01,14:15,7382.29
2026-01-01,14:30,7334.60
2026-01-01,14:45,7376.97
2026-01-01,15:00,7600.34
2026-01-01,15:15,7666.08
2026-01-01,15:30,7631.37
2026-01-01,15:45,7615.37
2026-01-01,16:00,7546.81
2026-01-01,16:15,7691.03
2026-01-01,16:30,7824.06
2026-01-01,16:45,8217.44
2026-01-01,17:00,8413.51
2026-01-01,17:15,8655.91
2026-01-01,17:30,8708.64
2026-01-01,17:45,8642.56
2026-01-01,18:00,8597.39
2026-01-01,18:15,8576.56
2026-01-01,18:30,8607.64
2026-01-01,18:45,8608.49
2026-01-01,19:00,8663.12
2026-01-01,19:15,8623.12
2026-01-01,19:30,8579.34
